"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035082","axoneme assembly","2/32","105/18986",0.019047619047619,11.3011904761905,4.34910029236302,0.0134876168077734,0.114644742866074,0.0889709459600493,"ODAD3/DNAI1",2
"GO:0046548","retinal rod cell development","1/32","10/18986",0.1,59.33125,7.58104019133747,0.0167311994227402,0.137627608154798,0.106806977639224,"NRL",1
"GO:0070782","phosphatidylserine exposure on apoptotic cell surface","1/32","10/18986",0.1,59.33125,7.58104019133747,0.0167311994227402,0.137627608154798,0.106806977639224,"XKR7",1
"GO:0006686","sphingomyelin biosynthetic process","1/32","11/18986",0.0909090909090909,53.9375,7.21603664032136,0.0183893255619934,0.140038613894729,0.108678057429139,"PEMT",1
"GO:0010807","regulation of synaptic vesicle priming","1/32","11/18986",0.0909090909090909,53.9375,7.21603664032136,0.0183893255619934,0.140038613894729,0.108678057429139,"SYP",1
"GO:0031915","positive regulation of synaptic plasticity","1/32","11/18986",0.0909090909090909,53.9375,7.21603664032136,0.0183893255619934,0.140038613894729,0.108678057429139,"CPLX2",1
"GO:1903305","regulation of regulated secretory pathway","2/32","125/18986",0.016,9.493,3.91438577763435,0.0187493715667258,0.140038613894729,0.108678057429139,"RPH3AL/RAB3A",2
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","3/32","338/18986",0.00887573964497041,5.26608727810651,3.25163513715499,0.0189410109520119,0.140038613894729,0.108678057429139,"CELF3/NOVA1/CELF5",3
"GO:0000398","mRNA splicing, via spliceosome","3/32","338/18986",0.00887573964497041,5.26608727810651,3.25163513715499,0.0189410109520119,0.140038613894729,0.108678057429139,"CELF3/NOVA1/CELF5",3
"GO:0000375","RNA splicing, via transesterification reactions","3/32","342/18986",0.0087719298245614,5.20449561403509,3.22394230700053,0.0195349310812194,0.140038613894729,0.108678057429139,"CELF3/NOVA1/CELF5",3
"GO:0010752","regulation of cGMP-mediated signaling","1/32","12/18986",0.0833333333333333,49.4427083333333,6.8971463655548,0.020044742773167,0.140038613894729,0.108678057429139,"RUNDC3A",1
"GO:0019532","oxalate transport","1/32","12/18986",0.0833333333333333,49.4427083333333,6.8971463655548,0.020044742773167,0.140038613894729,0.108678057429139,"SLC26A11",1
"GO:0038003","G protein-coupled opioid receptor signaling pathway","1/32","12/18986",0.0833333333333333,49.4427083333333,6.8971463655548,0.020044742773167,0.140038613894729,0.108678057429139,"SYP",1
"GO:1990504","dense core granule exocytosis","1/32","12/18986",0.0833333333333333,49.4427083333333,6.8971463655548,0.020044742773167,0.140038613894729,0.108678057429139,"RAB3A",1
"GO:0016081","synaptic vesicle docking","1/32","13/18986",0.0769230769230769,45.6394230769231,6.61533889867003,0.0216974553393764,0.143460342698405,0.111333516727761,"PPFIA3",1
"GO:0043652","engulfment of apoptotic cell","1/32","13/18986",0.0769230769230769,45.6394230769231,6.61533889867003,0.0216974553393764,0.143460342698405,0.111333516727761,"XKR7",1
"GO:0060287","epithelial cilium movement involved in determination of left/right asymmetry","1/32","13/18986",0.0769230769230769,45.6394230769231,6.61533889867003,0.0216974553393764,0.143460342698405,0.111333516727761,"ODAD3",1
"GO:0001578","microtubule bundle formation","2/32","136/18986",0.0147058823529412,8.72518382352941,3.71494553628806,0.0219560244192901,0.143460342698405,0.111333516727761,"ODAD3/DNAI1",2
"GO:0007368","determination of left/right symmetry","2/32","137/18986",0.0145985401459854,8.66149635036496,3.69793758866676,0.0222581258841197,0.143460342698405,0.111333516727761,"ODAD3/DNAI1",2
